| Country                      | Share of labor in agriculture | Share of labor in manufacturing | GDP per capita |
|------------------------------|-------------------------------|---------------------------------|----------------|
|                  Afghanistan |                          42.5 |                       `missing` |            497 |
|                      Albania |                         36.42 |                       `missing` |          6,069 |
|                      Algeria |                           9.6 |                       `missing` |          4,468 |
|                       Angola |                         50.73 |                            2.55 |          2,494 |
|                    Argentina |                          0.06 |                           11.35 |          9,956 |
|                      Armenia |                         24.05 |                            9.51 |          4,597 |
|                    Australia |                          2.56 |                            7.47 |         55,195 |
|                      Austria |                          3.66 |                           15.91 |         49,886 |
|                   Azerbaijan |                            36 |                            5.42 |          4,806 |
|                      Bahamas |                           2.2 |                            2.81 |         33,640 |
|                      Bahrain |                          0.94 |                       `missing` |         27,260 |
|                   Bangladesh |                          38.3 |                       `missing` |          2,130 |
|                     Barbados |                          2.65 |                            2.79 |         21,912 |
|                      Belarus |                         11.06 |                           17.43 |          6,838 |
|                      Belgium |                          0.92 |                           12.06 |         46,717 |
|                       Belize |                          16.8 |                            7.98 |          6,172 |
|                        Benin |                         38.27 |                           13.75 |          1,131 |
|                       Bhutan |                         55.78 |                            7.48 |          3,577 |
|                      Bolivia |                         30.54 |                           11.22 |          4,203 |
|       Bosnia and Herzegovina |                         17.96 |                           18.64 |          6,122 |
|                     Botswana |                          19.9 |                            6.73 |          7,172 |
|                       Brazil |                          9.08 |                           11.59 |          9,030 |
|                       Brunei |                          1.95 |                             4.3 |         30,427 |
|                     Bulgaria |                          6.62 |                           18.56 |         10,354 |
|                 Burkina Faso |                         26.21 |                            5.39 |            765 |
|                      Burundi |                         86.21 |                       `missing` |            234 |
|                     Cambodia |                         34.53 |                           15.09 |          2,226 |
|                     Cameroon |                         43.49 |                       `missing` |          1,555 |
|                       Canada |                          1.51 |                            9.15 |         46,353 |
|                   Cape Verde |                          10.6 |                            9.65 |          4,381 |
|     Central African Republic |                         69.85 |                       `missing` |            449 |
|                         Chad |                         75.06 |                       `missing` |            893 |
|                        Chile |                          8.98 |                             9.8 |         14,496 |
|                        China |                         25.33 |                           28.14 |         10,343 |
|                     Colombia |                         15.77 |                           11.66 |          6,473 |
|                      Comoros |                         34.38 |                       `missing` |          1,510 |
|                        Congo |                         33.53 |                       `missing` |          2,488 |
|                   Costa Rica |                         11.97 |                           10.06 |         12,885 |
|                Cote d'Ivoire |                         40.15 |                            6.91 |          2,142 |
|                      Croatia |                          6.19 |                           17.81 |         15,564 |
|                         Cuba |                          17.4 |                       `missing` |          9,232 |
|                       Cyprus |                          2.41 |                            7.27 |         29,227 |
|                      Czechia |                          2.66 |                           27.44 |         24,063 |
| Democratic Republic of Congo |                          64.3 |                       `missing` |            504 |
|                      Denmark |                          2.22 |                           10.96 |         59,404 |
|                     Djibouti |                         24.55 |                       `missing` |          2,837 |
|           Dominican Republic |                          8.78 |                           10.09 |          8,183 |
|                      Ecuador |                         29.74 |                           10.26 |          6,205 |
|                        Egypt |                         20.62 |                           12.96 |          2,963 |
|                  El Salvador |                         16.29 |                           14.85 |          4,320 |
|            Equatorial Guinea |                         39.51 |                       `missing` |          6,804 |
|                      Estonia |                          3.17 |                           18.46 |         24,021 |
|                     Eswatini |                         12.15 |                       `missing` |          3,913 |
|                     Ethiopia |                         66.63 |                       `missing` |            793 |
|                         Fiji |                         17.61 |                       `missing` |          5,842 |
|                      Finland |                          3.78 |                           12.93 |         48,358 |
|                       France |                          2.53 |                           11.77 |         40,408 |
|             French Polynesia |                          6.83 |                       `missing` |         21,583 |
|                        Gabon |                         29.96 |                       `missing` |          7,441 |
|                       Gambia |                         27.03 |                       `missing` |            738 |
|                      Georgia |                         38.15 |                             5.8 |          4,741 |
|                      Germany |                          1.21 |                           18.88 |         47,656 |
|                        Ghana |                         29.75 |                       `missing` |          2,187 |
|                       Greece |                          11.6 |                            9.62 |         19,335 |
|                    Guatemala |                          31.3 |                           11.65 |          4,512 |
|                       Guinea |                         60.65 |                       `missing` |          1,031 |
