| Item         | Australia | South Korea | Canada | USA    |
|--------------|-----------|-------------|--------|--------|
|  tech_aspros |     -0.08 |        0.07 |   3.28 |  -1.41 |
|       clerks |    -14.09 |       -4.88 |  -19.6 | -36.75 |
| service_shop |     -0.22 |       -0.14 |   2.24 |  -1.97 |
| off_mgr_pros |     -0.21 |       -0.02 |   2.49 |  -2.04 |
|  ag_othlowsk |      -0.0 |       -0.07 |   2.27 |   0.83 |
|      capital |      0.59 |        0.25 |   4.03 |  -0.69 |
|         land |      2.23 |       -0.25 |  -6.91 |   7.68 |
|          CPI |     -0.69 |       -0.15 |   0.08 |  -3.84 |
|           EV |      0.04 |       -0.29 |   1.05 |   0.78 |
