| Item         | Australia | South Korea | Canada | USA   |
|--------------|-----------|-------------|--------|-------|
|  tech_aspros |     -1.65 |        0.31 |   4.24 | -3.35 |
|       clerks |      -0.0 |         0.0 |   -0.0 |  -0.0 |
| service_shop |     -2.12 |       -0.13 |   0.78 | -4.81 |
| off_mgr_pros |      -2.1 |        0.13 |   2.11 | -5.09 |
|  ag_othlowsk |     -1.46 |         0.0 |   2.13 |  0.22 |
|      capital |      0.68 |        0.71 |   6.36 | -2.35 |
|         land |      3.82 |       -1.85 | -15.33 |  6.52 |
|          CPI |     -0.77 |        0.56 |   0.94 | -4.99 |
|           EV |      -5.7 |        -1.7 |  -6.79 | -5.08 |
