| Region       | crops | animals | extract | food | manuf | svces | ai   |
|--------------|-------|---------|---------|------|-------|-------|------|
|    Australia |   2.1 |     2.0 |     3.4 |  0.3 |   0.4 |  -0.2 |  0.6 |
|  New Zealand |   1.4 |     1.6 |     2.8 |  0.3 |   0.1 |  -0.1 |  0.5 |
|          ROW |   0.8 |     0.9 |     1.9 |  0.6 |   0.4 |  -0.3 | -0.3 |
|        China |   0.5 |     0.5 |     1.8 |  0.3 |   0.2 |  -0.3 |  0.2 |
|        Japan |   2.7 |     3.1 |     4.9 |  1.8 |   1.4 |  -0.7 |  1.6 |
|  South Korea |   4.3 |     4.9 |     3.5 | -0.1 |   0.1 |  -0.0 | -2.6 |
|     Malaysia |   0.2 |     0.2 |     1.7 |  0.2 |   0.1 |   0.1 |  0.2 |
|        India |  -0.6 |    -0.7 |    -0.7 |  0.1 |   0.3 |   0.4 |  0.2 |
|       Canada |   2.4 |     2.7 |     3.5 |  1.0 |   0.4 |   0.0 | -1.1 |
|          USA |   2.9 |     2.8 |     4.9 |  1.8 |   1.7 |  -0.5 | -0.5 |
|       Mexico |   0.7 |     0.7 |     2.4 |  0.3 |   0.2 |  -0.0 |  0.0 |
|    Argentina |   2.8 |     3.4 |     4.4 |  0.9 |   1.1 |  -0.4 | -1.1 |
|       Brazil |   2.1 |     2.2 |     4.1 |  0.8 |   0.6 |  -0.5 |  0.1 |
|           EU |   2.7 |     3.2 |     3.0 |  1.5 |   0.4 |  -0.2 | -1.1 |
|           UK |   1.3 |     1.6 |     1.2 |  0.7 |   0.2 |   0.1 | -0.1 |
|       Russia |   0.4 |     0.4 |     2.0 |  0.2 |   0.4 |  -0.1 | -0.4 |
| South Africa |   2.0 |     2.4 |     3.0 |  0.9 |   0.5 |  -0.5 |  0.1 |
