| Region       | tech_aspros | clerks | service_shop | off_mgr_pros | ag_othlowsk | capital | land |
|--------------|-------------|--------|--------------|--------------|-------------|---------|------|
|    Australia |         2.2 |  -31.5 |          1.9 |          1.8 |         2.2 |     4.3 |  9.1 |
|  New Zealand |         4.0 |  -29.9 |          1.5 |          1.7 |         1.7 |     2.5 | 11.1 |
|          ROW |         1.7 |  -19.6 |          0.7 |          0.8 |         1.1 |     1.4 |  2.1 |
|        China |        -0.1 |  -12.8 |         -0.1 |         -0.1 |         0.9 |     0.6 |  1.7 |
|        Japan |         5.0 |  -39.3 |          0.7 |          2.7 |         4.2 |     3.6 | 10.1 |
|  South Korea |         4.4 |  -31.4 |          2.8 |          4.0 |         4.5 |     5.4 | 10.7 |
|     Malaysia |         1.1 |   -4.5 |         -0.0 |         -0.1 |        -0.0 |     0.2 |  0.9 |
|        India |         1.8 |  -10.2 |          1.5 |          1.1 |        -1.3 |     2.7 | -3.2 |
|       Canada |         5.1 |  -35.5 |          3.0 |          4.0 |         4.5 |     6.8 | -1.8 |
|          USA |         3.1 |  -34.5 |          2.1 |          1.9 |         5.0 |     3.6 | 12.2 |
|       Mexico |         0.2 |  -18.2 |         -0.0 |         -0.0 |         0.6 |     0.5 |  3.5 |
|    Argentina |         3.7 |  -21.2 |          1.7 |          1.8 |         3.0 |     3.1 | 11.9 |
|       Brazil |         1.5 |  -22.3 |          0.8 |          1.3 |         3.4 |     1.8 | 10.4 |
|           EU |         7.4 |  -54.4 |          5.0 |          5.6 |         4.7 |     7.8 |  5.3 |
|           UK |         2.6 |  -33.7 |          4.0 |          3.2 |         4.1 |     3.3 |  2.6 |
|       Russia |         0.3 |  -29.1 |         -0.0 |          0.1 |         0.5 |     0.3 |  2.8 |
| South Africa |         1.9 |  -24.1 |          1.2 |          2.0 |         2.4 |     3.2 |  8.5 |
