| Region       | crops | animals | extract | food | manuf | svces | ai   |
|--------------|-------|---------|---------|------|-------|-------|------|
|    Australia |   0.4 |     0.3 |     0.9 | -0.1 |  -0.1 |  -0.2 |  1.2 |
|  New Zealand |   0.1 |     0.1 |     0.4 | -0.2 |  -0.2 |  -0.1 |  0.9 |
|          ROW |  -1.3 |    -1.4 |    -0.7 |  0.3 |   0.3 |   0.2 |  0.0 |
|        China |  -1.0 |    -1.3 |    -0.3 | -0.0 |   0.3 |  -0.0 |  0.3 |
|        Japan |   1.5 |     1.7 |     3.5 |  1.4 |   1.2 |  -0.7 |  1.6 |
|  South Korea |  -0.3 |    -1.0 |     1.3 | -0.6 |   0.4 |  -0.1 | -1.9 |
|     Malaysia |  -1.8 |    -1.8 |    -0.7 | -0.2 |   0.1 |   0.4 |  0.5 |
|        India |  -1.9 |    -2.3 |    -3.6 | -0.1 |   0.3 |   1.2 |  1.6 |
|       Canada |   1.5 |     1.8 |     0.8 |  1.2 |   0.4 |   0.2 | -0.5 |
|          USA |   1.6 |     1.1 |     3.1 |  1.5 |   1.7 |  -0.6 | -0.1 |
|       Mexico |  -0.4 |    -0.5 |     0.8 |  0.1 |   0.2 |  -0.0 |  0.1 |
|    Argentina |   1.2 |     0.5 |     2.7 |  0.2 |   0.7 |  -0.4 | -0.6 |
|       Brazil |   2.1 |     1.8 |     4.7 |  0.2 |   0.4 |  -0.7 |  0.0 |
|           EU |   0.9 |     1.3 |    -0.4 |  1.3 |   0.2 |  -0.0 | -0.6 |
|           UK |  -0.8 |    -0.8 |    -2.5 |  0.6 |   0.1 |   0.2 |  0.1 |
|       Russia |  -0.1 |     0.0 |    -0.2 |  0.1 |   0.2 |  -0.1 | -0.2 |
| South Africa |   0.3 |    -0.0 |     1.1 |  0.4 |   0.2 |  -0.5 |  0.3 |
