| Region       | tech_aspros | clerks | service_shop | off_mgr_pros | ag_othlowsk | capital | land  |
|--------------|-------------|--------|--------------|--------------|-------------|---------|-------|
|    Australia |         1.2 |    0.3 |          0.5 |          0.1 |         0.5 |     5.6 |  -3.7 |
|  New Zealand |         6.2 |    0.1 |          0.2 |          0.3 |        -0.3 |     2.3 |  -2.4 |
|          ROW |         2.8 |   -1.1 |          0.4 |          0.4 |         0.3 |     1.7 |  -9.1 |
|        China |        -0.7 |    0.4 |         -1.0 |         -1.2 |         0.9 |     0.6 |  -7.9 |
|        Japan |         5.9 |    3.3 |         -1.6 |          1.3 |         3.5 |     3.1 |  -0.6 |
|  South Korea |         3.4 |    0.9 |         -0.2 |          2.3 |         3.3 |     5.7 |  -3.7 |
|     Malaysia |         2.8 |   -1.1 |          0.1 |         -0.4 |        -0.4 |     0.3 |  -7.6 |
|        India |         4.0 |   -6.9 |          3.4 |          2.5 |        -3.1 |     5.4 | -10.3 |
|       Canada |         5.1 |   -0.1 |          0.8 |          2.8 |         3.3 |     8.6 | -25.1 |
|          USA |         3.0 |    3.1 |          0.5 |         -0.1 |         5.8 |     3.5 |   1.6 |
|       Mexico |        -0.2 |    0.4 |         -0.7 |         -0.7 |         0.5 |     0.5 |  -4.1 |
|    Argentina |         4.0 |    3.2 |         -1.4 |         -1.5 |         0.6 |     2.4 |   2.7 |
|       Brazil |        -0.2 |    4.7 |         -2.0 |         -0.8 |         4.3 |     0.5 |   7.9 |
|           EU |         8.0 |   -1.9 |          4.5 |          4.9 |         2.4 |     8.7 |  -9.4 |
|           UK |         1.8 |   -2.9 |          4.7 |          3.2 |         5.0 |     3.4 | -10.2 |
|       Russia |         0.5 |   -0.6 |         -0.4 |         -0.1 |         1.2 |     0.1 |  -4.9 |
| South Africa |         0.2 |    0.7 |         -1.9 |          0.4 |         0.7 |     3.2 |  -4.4 |
