| Region       | crops | animals | extract | food | manuf | svces | ai    |
|--------------|-------|---------|---------|------|-------|-------|-------|
|    Australia |   1.3 |     2.7 |     1.6 |  3.7 |   6.7 |   2.5 |  22.7 |
|  New Zealand |   2.2 |     3.1 |     0.9 |  3.4 |   4.5 |   1.9 |  54.7 |
|          ROW |   0.2 |    -0.0 |     0.6 | -0.0 |  -2.3 |  -0.3 |  18.5 |
|        China |   0.2 |    -0.2 |     0.8 |  0.0 |   0.5 |  -0.7 |   9.1 |
|        Japan |   1.4 |     1.3 |     1.6 |  1.3 |   5.5 |   4.0 |  29.9 |
|  South Korea |  -0.2 |     3.4 |     0.7 |  4.7 |   9.3 |   6.0 |  83.3 |
|        India |  -0.4 |    -0.2 |    -1.1 | -1.1 |  -4.5 |  -0.3 |  36.8 |
|       Canada |  -2.8 |    -0.5 |     0.1 |  0.2 |   3.4 |   4.7 | 101.7 |
|          USA |   1.2 |     0.9 |     2.8 |  1.1 |   5.6 |   2.7 |  33.2 |
|       Mexico |   0.9 |    -0.2 |     1.7 | -0.2 |   0.1 |  -0.4 |   7.1 |
|    Argentina |  -0.2 |    -0.4 |    -0.2 | -0.5 |  -2.3 |  -0.2 |  13.0 |
|       Brazil |   1.0 |     0.3 |     0.9 |  0.8 |  -0.4 |  -0.3 |   4.2 |
|           EU |  -0.8 |     1.5 |    -0.6 |  1.7 |   3.2 |   6.1 |  65.1 |
|           UK |  -0.5 |     0.6 |    -0.2 |  1.1 |  -0.6 |   1.8 |  46.9 |
|       Russia |   1.3 |     0.3 |     0.9 |  0.6 |   0.1 |  -0.3 |   3.2 |
| South Africa |   0.8 |    -0.1 |     0.9 |  0.4 |  -1.3 |  -0.2 |  13.3 |
