| Region       | crops | animals | extract | food | manuf | svces | ai   |
|--------------|-------|---------|---------|------|-------|-------|------|
|    Australia |   2.4 |     2.0 |     3.2 |  0.7 |   1.1 |  -0.2 |  0.5 |
|  New Zealand |   1.7 |     1.9 |     3.1 |  0.5 |   0.5 |  -0.2 |  0.5 |
|          ROW |   0.2 |     0.1 |     0.8 |  0.1 |  -0.3 |   0.0 | -0.1 |
|        China |   0.4 |     0.1 |     1.0 |  0.1 |   0.0 |  -0.1 | -0.1 |
|        Japan |   3.0 |     2.9 |     3.8 |  2.0 |   1.7 |  -0.6 |  1.8 |
|  South Korea |   4.0 |     4.0 |     2.5 |  0.2 |   0.3 |   0.0 | -3.5 |
|        India |  -0.8 |    -0.7 |    -0.9 | -0.3 |  -0.3 |   0.4 |  0.4 |
|       Canada |   1.7 |     2.7 |     3.0 |  0.9 |   0.1 |  -0.0 | -1.7 |
|          USA |   3.8 |     2.5 |     4.9 |  1.8 |   2.3 |  -0.4 | -0.3 |
|       Mexico |   0.8 |     0.5 |     1.8 |  0.1 |  -0.1 |  -0.0 | -0.1 |
|    Argentina |  -0.3 |    -0.2 |    -0.1 |  0.0 |  -0.4 |   0.1 | -0.2 |
|       Brazil |   0.4 |     0.3 |     1.3 |  0.1 |   0.0 |  -0.1 | -0.1 |
|           EU |   2.0 |     2.9 |     1.7 |  1.3 |   0.3 |  -0.2 | -0.9 |
|           UK |   1.2 |     1.8 |     0.9 |  0.6 |  -0.3 |  -0.0 | -0.5 |
|       Russia |   0.5 |     0.2 |     1.3 |  0.1 |   0.1 |  -0.1 | -0.1 |
| South Africa |   0.6 |     0.3 |     0.8 |  0.2 |  -0.1 |  -0.0 | -0.2 |
