| Region       | tech_aspros | clerks | service_shop | off_mgr_pros | ag_othlowsk | capital | land |
|--------------|-------------|--------|--------------|--------------|-------------|---------|------|
|    Australia |         2.1 |  -31.4 |          1.7 |          1.8 |         2.4 |     3.9 | 10.6 |
|  New Zealand |         4.2 |  -33.5 |          1.7 |          2.0 |         2.4 |     2.8 | 12.9 |
|          ROW |         0.5 |    0.4 |          0.2 |          0.1 |        -0.2 |     0.3 |  1.2 |
|        China |        -0.4 |   -0.4 |         -0.4 |         -0.4 |         0.1 |    -0.1 |  1.4 |
|        Japan |         5.8 |  -41.9 |          1.4 |          3.0 |         4.1 |     4.2 | 11.8 |
|  South Korea |         6.5 |  -38.3 |          4.9 |          6.0 |         6.4 |     7.5 | 10.1 |
|        India |         1.1 |    4.1 |          0.9 |          0.6 |        -1.3 |     1.4 | -3.1 |
|       Canada |         6.0 |  -38.0 |          3.7 |          4.8 |         5.2 |     7.3 | -0.7 |
|          USA |         2.6 |  -32.2 |          1.8 |          1.6 |         4.5 |     3.1 | 11.8 |
|       Mexico |        -0.1 |   -0.0 |         -0.2 |         -0.2 |         0.2 |     0.1 |  4.6 |
|    Argentina |         0.6 |    0.7 |          0.2 |         -0.1 |        -0.4 |     0.3 | -1.3 |
|       Brazil |        -0.1 |   -0.1 |         -0.1 |         -0.2 |         0.4 |     0.0 |  4.1 |
|           EU |         7.0 |  -53.2 |          4.9 |          5.4 |         4.5 |     7.4 |  3.6 |
|           UK |         2.9 |  -37.6 |          4.0 |          3.6 |         4.6 |     3.3 |  3.1 |
|       Russia |        -0.2 |   -0.1 |         -0.3 |         -0.2 |         0.1 |    -0.1 |  4.2 |
| South Africa |        -0.1 |   -0.1 |         -0.1 |         -0.1 |        -0.4 |     0.2 |  3.1 |
