| Region       | tech_aspros | clerks | service_shop | off_mgr_pros | ag_othlowsk | capital | land |
|--------------|-------------|--------|--------------|--------------|-------------|---------|------|
|    Australia |        -0.2 |   -1.2 |         -0.2 |         -0.2 |        -0.2 |    -0.2 |  0.0 |
|  New Zealand |        -0.1 |   -1.2 |         -0.2 |         -0.2 |        -0.2 |    -0.2 | -0.1 |
|          ROW |         0.0 |    0.0 |          0.0 |          0.0 |        -0.0 |     0.0 |  0.1 |
|        China |        -0.0 |   -0.0 |         -0.0 |         -0.0 |         0.0 |    -0.0 |  0.1 |
|        Japan |         0.0 |   -3.9 |         -0.1 |         -0.0 |         0.0 |     0.0 |  0.2 |
|  South Korea |        -0.2 |   -1.8 |         -0.3 |         -0.3 |        -0.2 |    -0.2 | -0.5 |
|        India |         0.0 |    0.1 |          0.0 |          0.0 |        -0.0 |     0.0 | -0.1 |
|       Canada |        -0.2 |   -1.8 |         -0.2 |         -0.2 |        -0.2 |    -0.2 |  0.3 |
|          USA |        -0.1 |   -1.3 |         -0.2 |         -0.2 |        -0.2 |    -0.2 | -0.4 |
|       Mexico |        -0.0 |   -0.0 |         -0.0 |         -0.0 |        -0.0 |    -0.0 |  0.1 |
|    Argentina |         0.0 |    0.0 |         -0.0 |         -0.0 |        -0.0 |     0.0 |  0.1 |
|       Brazil |        -0.0 |   -0.0 |         -0.0 |         -0.0 |         0.0 |    -0.0 |  0.3 |
|           EU |         1.1 |  -15.6 |          0.8 |          0.9 |         0.9 |     1.1 |  0.9 |
|           UK |        -0.1 |   -1.6 |          0.0 |         -0.0 |        -0.0 |    -0.0 | -0.2 |
|       Russia |        -0.0 |   -0.0 |         -0.0 |         -0.0 |         0.0 |    -0.0 |  0.3 |
| South Africa |        -0.0 |    0.0 |          0.0 |          0.0 |        -0.0 |     0.0 |  0.3 |
