| Region       | crops | animals | extract | food | manuf | svces | ai    |
|--------------|-------|---------|---------|------|-------|-------|-------|
|    Australia |   2.0 |     1.1 |     0.9 |  1.4 |   7.6 |  -0.4 |  45.6 |
|  New Zealand |   1.9 |     2.0 |     0.3 |  2.6 |   3.2 |  -0.9 | 116.7 |
|          ROW |  -0.2 |    -0.2 |    -0.9 | -0.3 |  -4.0 |  -0.5 |  35.9 |
|        China |   0.1 |    -0.3 |     0.2 |  0.0 |   0.4 |  -0.9 |  18.7 |
|        Japan |   0.3 |    -1.9 |     1.6 | -1.7 |   6.6 |   0.7 |  50.8 |
|  South Korea |  -0.1 |    -1.3 |    -0.0 | -0.1 |   8.5 |   1.2 | 149.6 |
|        India |  -0.9 |    -0.3 |    -3.9 | -2.4 |  -8.5 |  -0.2 |  66.9 |
|       Canada |  -7.1 |    -7.2 |    -1.6 | -6.7 |  -3.5 |   1.5 | 195.3 |
|          USA |   1.9 |    -2.5 |     3.0 | -2.5 |   7.4 |  -0.6 |  66.3 |
|       Mexico |   0.1 |    -0.8 |     1.1 | -0.8 |  -0.3 |  -0.6 |  16.5 |
|    Argentina |  -1.9 |    -1.1 |    -2.4 | -1.8 |  -4.6 |  -0.1 |  27.0 |
|       Brazil |   0.2 |     0.3 |     0.1 |  0.9 |  -0.7 |  -0.4 |   9.3 |
|           EU |  -2.1 |    -1.1 |    -2.7 | -1.2 |  -1.0 |   4.1 |  98.9 |
|           UK |  -1.0 |    -1.9 |    -1.8 | -1.8 |  -4.8 |  -1.0 |  85.2 |
|       Russia |   1.0 |     0.2 |     0.2 |  0.7 |   0.5 |  -0.5 |   6.5 |
| South Africa |   0.2 |    -0.3 |    -0.5 |  0.4 |  -1.8 |  -0.5 |  26.3 |
