| Region       | crops | animals | extract | food | manuf | svces | ai   |
|--------------|-------|---------|---------|------|-------|-------|------|
|    Australia |   2.2 |     1.6 |     2.6 |  0.7 |   1.5 |  -0.3 |  0.8 |
|  New Zealand |   1.2 |     1.2 |     1.8 |  0.3 |   0.5 |  -0.2 |  0.7 |
|          ROW |  -0.3 |    -0.1 |    -0.7 |  0.1 |  -0.4 |   0.1 |  0.2 |
|        China |   0.2 |     0.1 |     0.3 |  0.1 |   0.1 |  -0.1 |  0.0 |
|        Japan |   2.3 |     2.4 |     3.4 |  2.0 |   1.9 |  -0.7 |  1.9 |
|  South Korea |   1.8 |     2.0 |     1.7 |  0.1 |   0.5 |  -0.1 | -3.0 |
|        India |  -1.7 |    -1.6 |    -2.9 | -0.5 |  -0.7 |   0.8 |  1.1 |
|       Canada |   0.2 |     1.8 |     1.0 |  0.7 |  -0.9 |   0.1 | -1.2 |
|          USA |   3.9 |     1.6 |     5.0 |  1.8 |   3.1 |  -0.5 |  0.0 |
|       Mexico |   0.2 |     0.0 |     1.1 | -0.0 |  -0.0 |   0.0 | -0.0 |
|    Argentina |  -1.5 |    -1.1 |    -2.3 | -0.1 |  -0.9 |   0.2 | -0.1 |
|       Brazil |   0.2 |     0.2 |     0.2 |  0.1 |  -0.0 |  -0.0 | -0.0 |
|           EU |   0.7 |     1.9 |    -0.5 |  1.1 |  -0.1 |  -0.1 | -0.6 |
|           UK |  -0.0 |     0.7 |    -1.2 |  0.5 |  -0.7 |   0.1 | -0.3 |
|       Russia |   0.4 |     0.2 |     0.3 |  0.2 |   0.2 |  -0.1 | -0.0 |
| South Africa |   0.1 |     0.0 |    -0.5 |  0.1 |  -0.1 |   0.0 |  0.2 |
