| Region       | tech_aspros | clerks | service_shop | off_mgr_pros | ag_othlowsk | capital | land  |
|--------------|-------------|--------|--------------|--------------|-------------|---------|-------|
|    Australia |         0.8 |    2.2 |          0.0 |          0.0 |         1.0 |     4.5 |   9.8 |
|  New Zealand |         5.7 |    1.1 |          0.3 |          0.8 |         0.9 |     2.6 |   8.1 |
|          ROW |         1.1 |    0.9 |          0.6 |          0.3 |        -0.3 |     0.6 |  -1.4 |
|        China |        -0.4 |   -0.5 |         -0.4 |         -0.4 |         0.2 |     0.0 |   0.4 |
|        Japan |         6.6 |    3.0 |         -0.9 |          1.7 |         3.4 |     3.7 |   6.0 |
|  South Korea |         5.4 |    1.2 |          1.5 |          4.3 |         5.4 |     7.7 |   2.1 |
|        India |         2.6 |    8.1 |          2.2 |          1.6 |        -2.3 |     2.8 |  -7.6 |
|       Canada |         6.6 |    0.1 |          2.3 |          4.1 |         4.5 |     9.1 | -15.4 |
|          USA |         1.9 |    4.7 |         -0.0 |         -0.4 |         5.2 |     2.7 |  10.3 |
|       Mexico |         0.0 |    0.1 |         -0.2 |         -0.2 |         0.2 |     0.2 |   0.8 |
|    Argentina |         1.3 |    1.6 |          0.7 |          0.0 |        -0.7 |     0.8 |  -7.4 |
|       Brazil |         0.0 |   -0.1 |         -0.1 |         -0.2 |         0.5 |     0.1 |   1.3 |
|           EU |         7.3 |   -1.1 |          4.2 |          4.8 |         2.8 |     8.0 |  -5.4 |
|           UK |         2.3 |   -1.5 |          4.6 |          3.7 |         5.6 |     3.1 |  -4.7 |
|       Russia |        -0.2 |   -0.1 |         -0.4 |         -0.3 |         0.3 |    -0.2 |   2.9 |
| South Africa |        -0.1 |    0.0 |         -0.1 |         -0.0 |        -0.7 |     0.3 |   0.1 |
