| Region       | crops | animals | extract | food | manuf | svces | ai   |
|--------------|-------|---------|---------|------|-------|-------|------|
|    Australia |  -0.0 |    -0.3 |    -0.2 | -0.3 |  -0.4 |  -0.4 |  0.3 |
|  New Zealand |  -0.2 |    -0.2 |    -0.2 | -0.1 |  -0.4 |  -0.4 |  0.9 |
|          ROW |  -0.1 |    -0.0 |    -0.3 | -0.1 |  -0.3 |  -0.0 |  3.2 |
|        China |  -0.0 |    -0.0 |    -0.1 |  0.0 |   0.1 |  -0.1 |  1.2 |
|        Japan |  -0.1 |    -0.5 |     0.0 | -0.4 |   0.2 |  -0.7 |  1.0 |
|  South Korea |   0.0 |    -0.6 |    -0.1 | -0.6 |  -0.5 |  -0.8 |  0.7 |
|        India |  -0.1 |    -0.0 |    -0.4 | -0.2 |  -0.6 |  -0.0 |  4.5 |
|       Canada |  -0.1 |    -0.4 |    -0.2 | -0.4 |  -0.6 |  -0.5 |  1.7 |
|          USA |  -0.1 |    -0.3 |    -0.4 | -0.3 |  -0.5 |  -0.4 |  0.9 |
|       Mexico |  -0.1 |     0.0 |    -0.2 |  0.0 |   0.0 |  -0.0 |  0.4 |
|    Argentina |  -0.1 |    -0.0 |    -0.2 | -0.0 |  -0.0 |  -0.0 |  0.8 |
|       Brazil |  -0.1 |     0.0 |    -0.1 |  0.0 |   0.0 |  -0.0 |  0.8 |
|           EU |  -0.4 |    -1.3 |    -0.4 | -1.4 |  -0.3 |  -0.8 | 20.0 |
|           UK |  -0.3 |    -0.5 |    -0.6 | -0.9 |  -2.1 |  -0.4 |  6.0 |
|       Russia |  -0.0 |     0.0 |    -0.1 |  0.0 |   0.1 |  -0.0 |  0.6 |
| South Africa |  -0.1 |    -0.1 |    -0.3 | -0.0 |  -0.1 |  -0.0 |  2.6 |
