| Region       | tech_aspros | clerks | service_shop | off_mgr_pros | ag_othlowsk | capital | land |
|--------------|-------------|--------|--------------|--------------|-------------|---------|------|
|    Australia |        -0.3 |   -0.2 |         -0.3 |         -0.3 |        -0.3 |    -0.3 | -0.7 |
|  New Zealand |        -0.2 |   -0.2 |         -0.2 |         -0.2 |        -0.3 |    -0.2 | -1.0 |
|          ROW |         0.1 |    0.1 |          0.1 |          0.0 |        -0.0 |     0.0 | -0.5 |
|        China |        -0.0 |   -0.0 |         -0.0 |         -0.0 |         0.0 |     0.0 | -0.1 |
|        Japan |        -0.2 |    0.0 |         -0.5 |         -0.3 |        -0.2 |    -0.3 | -0.7 |
|  South Korea |        -0.5 |   -0.1 |         -0.6 |         -0.5 |        -0.4 |    -0.4 | -1.1 |
|        India |         0.2 |    0.5 |          0.1 |          0.1 |        -0.2 |     0.2 | -0.7 |
|       Canada |        -0.3 |   -0.2 |         -0.4 |         -0.4 |        -0.4 |    -0.3 | -1.3 |
|          USA |        -0.2 |   -0.3 |         -0.2 |         -0.3 |        -0.3 |    -0.2 | -1.2 |
|       Mexico |        -0.0 |   -0.0 |         -0.0 |         -0.0 |        -0.0 |    -0.0 | -0.5 |
|    Argentina |         0.0 |    0.0 |          0.0 |         -0.0 |        -0.0 |     0.0 | -0.4 |
|       Brazil |        -0.0 |   -0.0 |         -0.0 |         -0.0 |         0.0 |    -0.0 | -0.4 |
|           EU |         0.6 |   -0.2 |         -0.2 |          0.0 |        -0.2 |     0.8 | -2.8 |
|           UK |        -0.1 |   -0.5 |          0.2 |          0.0 |         0.1 |     0.0 | -2.3 |
|       Russia |        -0.0 |    0.0 |         -0.0 |         -0.0 |         0.0 |    -0.0 | -0.1 |
| South Africa |         0.0 |    0.0 |         -0.0 |          0.0 |        -0.1 |     0.0 | -0.6 |
