| Region       | crops | animals | extract | food | manuf | svces | ai   |
|--------------|-------|---------|---------|------|-------|-------|------|
|    Australia |   0.4 |     0.7 |     0.4 |  0.9 |   2.1 |   0.6 |  8.5 |
|  New Zealand |  -0.1 |    -0.8 |     0.1 | -0.9 |  -1.1 |  -0.2 | 13.2 |
|          ROW |   0.0 |    -0.0 |     0.1 | -0.1 |  -0.9 |  -0.2 |  8.9 |
|        China |   0.0 |    -0.1 |     0.2 | -0.0 |   0.0 |  -0.2 |  4.7 |
|        Japan |   0.1 |    -0.1 |     0.3 | -0.1 |  -0.3 |  -0.2 |  3.4 |
|  South Korea |   0.0 |    -0.3 |     0.2 | -0.3 |  -0.3 |  -0.2 | 14.2 |
|        India |  -0.3 |    -0.1 |    -1.1 | -0.9 |  -3.0 |  -0.1 | 23.8 |
|       Canada |  -3.7 |    -2.6 |    -0.4 | -2.7 |  -3.0 |   1.8 | 65.9 |
|          USA |   1.2 |     1.1 |     2.7 |  1.3 |   7.2 |   3.1 | 29.8 |
|       Mexico |   0.4 |    -0.4 |     0.8 | -0.6 |  -0.3 |  -0.1 |  6.7 |
|    Argentina |  -0.9 |    -0.5 |    -0.7 | -1.0 |  -2.1 |   0.0 | 11.5 |
|       Brazil |   0.1 |     0.0 |     0.2 |  0.1 |  -0.3 |  -0.1 |  2.8 |
|           EU |  -0.2 |    -0.2 |    -0.1 | -0.3 |  -1.8 |  -0.2 |  8.5 |
|           UK |  -0.4 |    -0.5 |    -0.4 | -1.0 |  -3.2 |  -0.6 | 13.7 |
|       Russia |   0.2 |     0.0 |     0.2 |  0.1 |   0.0 |  -0.1 |  1.7 |
| South Africa |   0.1 |    -0.1 |     0.2 |  0.1 |  -0.5 |  -0.1 |  6.4 |
