| Region       | crops | animals | extract | food | manuf | svces | ai   |
|--------------|-------|---------|---------|------|-------|-------|------|
|    Australia |   2.4 |     2.0 |     3.5 |  0.7 |   1.0 |  -0.2 |  0.5 |
|  New Zealand |   1.8 |     2.0 |     3.5 |  0.5 |   0.5 |  -0.2 |  0.5 |
|          ROW |   0.9 |     0.8 |     1.7 |  0.6 |   0.1 |  -0.3 | -0.3 |
|        China |   1.3 |     0.9 |     2.3 |  0.5 |   0.4 |  -0.6 |  0.3 |
|        Japan |   3.2 |     3.0 |     4.5 |  2.1 |   1.8 |  -0.7 |  1.8 |
|  South Korea |   4.0 |     4.0 |     2.9 |  0.1 |   0.2 |   0.1 | -3.5 |
|        India |  -0.6 |    -0.6 |    -0.6 | -0.1 |  -0.1 |   0.3 | -0.1 |
|       Canada |   1.8 |     2.8 |     3.3 |  1.0 |   0.1 |  -0.0 | -1.7 |
|          USA |   3.9 |     2.6 |     5.1 |  1.8 |   2.2 |  -0.4 | -0.3 |
|       Mexico |   1.2 |     0.8 |     2.4 |  0.3 |   0.1 |  -0.1 | -0.1 |
|    Argentina |   2.2 |     2.3 |     3.3 |  0.9 |   0.9 |  -0.3 | -0.8 |
|       Brazil |   2.3 |     2.2 |     3.8 |  0.9 |   0.8 |  -0.5 |  0.0 |
|           EU |   1.8 |     2.8 |     1.7 |  1.3 |   0.2 |  -0.2 | -0.8 |
|           UK |   1.1 |     1.8 |     1.0 |  0.6 |  -0.4 |   0.0 | -0.5 |
|       Russia |   0.9 |     0.6 |     2.2 |  0.4 |   0.4 |  -0.2 | -0.5 |
| South Africa |   2.1 |     2.1 |     2.8 |  1.0 |   0.8 |  -0.5 |  0.3 |
