| Region       | tech_aspros | clerks | service_shop | off_mgr_pros | ag_othlowsk | capital | land |
|--------------|-------------|--------|--------------|--------------|-------------|---------|------|
|    Australia |         0.6 |  -13.5 |          0.5 |          0.5 |         0.7 |     1.3 |  2.4 |
|  New Zealand |         0.5 |   -1.1 |         -0.0 |         -0.1 |        -0.5 |     0.1 | -2.3 |
|          ROW |         0.2 |   -0.8 |          0.0 |         -0.0 |        -0.2 |     0.0 | -0.6 |
|        China |        -0.2 |   -1.1 |         -0.2 |         -0.2 |        -0.1 |    -0.1 | -0.4 |
|        Japan |         0.1 |   -1.2 |         -0.2 |         -0.2 |        -0.3 |    -0.1 | -0.2 |
|  South Korea |         0.2 |   -4.7 |          0.0 |          0.1 |         0.1 |     0.4 | -0.3 |
|        India |         0.9 |    1.8 |          0.7 |          0.5 |        -1.0 |     0.9 | -3.2 |
|       Canada |         3.2 |  -19.7 |          2.2 |          2.4 |         2.2 |     3.9 | -7.9 |
|          USA |         2.5 |  -34.2 |          1.9 |          1.9 |         4.9 |     3.3 | 11.6 |
|       Mexico |         0.2 |   -0.7 |          0.1 |          0.1 |         0.1 |     0.2 |  1.3 |
|    Argentina |         0.3 |   -0.4 |          0.1 |         -0.3 |        -0.7 |     0.1 | -4.5 |
|       Brazil |        -0.1 |   -1.1 |         -0.1 |         -0.2 |        -0.1 |    -0.1 | -0.2 |
|           EU |         0.0 |   -0.7 |         -0.1 |         -0.2 |        -0.7 |     0.1 | -1.8 |
|           UK |         0.0 |   -0.6 |          0.6 |          0.2 |         0.5 |     0.2 | -2.8 |
|       Russia |        -0.1 |   -1.0 |         -0.1 |         -0.1 |         0.0 |    -0.1 |  0.3 |
| South Africa |        -0.3 |   -1.1 |         -0.3 |         -0.3 |        -0.4 |    -0.2 | -0.5 |
