| Region       | crops | animals | extract | food | manuf | svces | ai   |
|--------------|-------|---------|---------|------|-------|-------|------|
|    Australia |  -0.1 |    -0.2 |    -0.2 | -0.3 |  -0.2 |  -0.3 | -0.2 |
|  New Zealand |  -0.3 |    -0.2 |    -0.1 | -0.2 |  -0.3 |  -0.2 | -0.1 |
|          ROW |  -0.1 |    -0.1 |    -0.2 | -0.1 |  -0.2 |  -0.2 | -0.2 |
|        China |  -0.1 |    -0.1 |    -0.2 | -0.2 |  -0.2 |  -0.2 | -0.2 |
|        Japan |  -0.1 |    -0.2 |    -0.1 | -0.2 |  -0.1 |  -0.3 | -0.2 |
|  South Korea |  -0.0 |    -0.4 |    -0.1 | -0.4 |  -0.4 |  -0.5 | -0.5 |
|        India |  -0.1 |    -0.1 |    -0.2 | -0.1 |  -0.2 |  -0.2 | -0.4 |
|       Canada |  -0.3 |    -0.3 |    -0.1 | -0.3 |  -0.4 |  -0.3 | -0.2 |
|          USA |  -0.1 |    -0.2 |    -0.2 | -0.2 |  -0.2 |  -0.3 | -0.1 |
|       Mexico |  -0.1 |    -0.0 |    -0.2 | -0.0 |  -0.1 |  -0.1 | -0.0 |
|    Argentina |  -0.2 |    -0.3 |    -0.3 | -0.3 |  -0.5 |  -0.5 | -0.5 |
|       Brazil |  -0.2 |    -0.2 |    -0.1 | -0.2 |  -0.2 |  -0.3 | -0.3 |
|           EU |  -0.1 |    -0.2 |    -0.2 | -0.2 |  -0.2 |  -0.2 | -0.2 |
|           UK |  -0.0 |    -0.2 |    -0.1 | -0.2 |  -0.3 |  -0.2 | -0.1 |
|       Russia |  -0.2 |    -0.0 |    -0.1 | -0.0 |   0.0 |  -0.0 | -0.0 |
| South Africa |  -0.1 |    -0.2 |    -0.3 | -0.2 |  -0.2 |  -0.4 | -0.3 |
