| Region       | crops | animals | extract | food | manuf | svces | ai   |
|--------------|-------|---------|---------|------|-------|-------|------|
|    Australia |  -0.0 |    -0.0 |    -0.0 | -0.0 |   0.0 |   0.0 |  0.0 |
|  New Zealand |  -0.0 |    -0.0 |    -0.0 | -0.0 |   0.0 |   0.0 |  0.0 |
|          ROW |  -0.0 |    -0.0 |    -0.0 | -0.0 |   0.0 |   0.0 |  0.0 |
|        China |  -0.0 |    -0.0 |    -0.0 | -0.0 |  -0.0 |   0.0 |  0.0 |
|        Japan |  -0.0 |    -0.0 |    -0.0 | -0.0 |   0.0 |   0.0 | -0.0 |
|  South Korea |  -0.0 |    -0.0 |    -0.0 | -0.0 |   0.0 |   0.0 | -0.0 |
|        India |  -0.0 |    -0.0 |    -0.0 | -0.0 |   0.0 |   0.0 | -0.0 |
|       Canada |  -0.0 |    -0.0 |    -0.0 | -0.0 |   0.0 |   0.0 | -0.0 |
|          USA |  -0.0 |    -0.0 |    -0.0 | -0.0 |  -0.0 |   0.0 |  0.0 |
|       Mexico |  -0.0 |    -0.0 |    -0.0 | -0.0 |   0.0 |   0.0 |  0.0 |
|    Argentina |  -0.0 |    -0.0 |    -0.0 | -0.0 |   0.0 |   0.0 | -0.0 |
|       Brazil |  -0.0 |    -0.0 |    -0.0 | -0.0 |   0.0 |   0.0 | -0.0 |
|           EU |  -0.0 |    -0.0 |    -0.0 | -0.0 |   0.0 |  -0.0 |  0.0 |
|           UK |  -0.0 |    -0.0 |    -0.0 | -0.0 |  -0.0 |   0.0 | -0.0 |
|       Russia |  -0.0 |    -0.0 |    -0.0 | -0.0 |   0.0 |  -0.0 |  0.0 |
| South Africa |  -0.0 |    -0.0 |    -0.0 | -0.0 |   0.0 |   0.0 |  0.0 |
