| Region       | tech_aspros | clerks | service_shop | off_mgr_pros | ag_othlowsk | capital | land |
|--------------|-------------|--------|--------------|--------------|-------------|---------|------|
|    Australia |        -0.2 |   -1.2 |         -0.2 |         -0.2 |        -0.2 |    -0.2 | -0.4 |
|  New Zealand |        -0.1 |   -1.2 |         -0.2 |         -0.2 |        -0.2 |    -0.2 | -0.5 |
|          ROW |        -0.1 |   -1.0 |         -0.1 |         -0.1 |        -0.2 |    -0.1 | -0.5 |
|        China |        -0.1 |   -1.0 |         -0.1 |         -0.1 |        -0.2 |    -0.1 | -0.6 |
|        Japan |         0.0 |   -3.9 |         -0.1 |         -0.0 |         0.0 |     0.0 | -0.0 |
|  South Korea |        -0.2 |   -1.8 |         -0.3 |         -0.3 |        -0.2 |    -0.2 | -0.6 |
|        India |         0.0 |   -0.8 |         -0.0 |         -0.0 |        -0.2 |    -0.0 | -0.8 |
|       Canada |        -0.2 |   -1.8 |         -0.2 |         -0.2 |        -0.2 |    -0.2 | -0.4 |
|          USA |        -0.1 |   -1.3 |         -0.2 |         -0.2 |        -0.2 |    -0.2 | -0.6 |
|       Mexico |        -0.0 |   -1.0 |         -0.1 |         -0.1 |        -0.1 |    -0.0 | -0.3 |
|    Argentina |        -0.3 |   -1.1 |         -0.3 |         -0.3 |        -0.4 |    -0.3 | -1.0 |
|       Brazil |        -0.2 |   -1.1 |         -0.2 |         -0.2 |        -0.2 |    -0.2 | -0.5 |
|           EU |         1.1 |  -15.6 |          0.9 |          0.9 |         0.9 |     1.1 |  0.6 |
|           UK |        -0.1 |   -1.6 |          0.0 |         -0.0 |        -0.0 |    -0.0 | -0.4 |
|       Russia |        -0.0 |   -1.0 |         -0.0 |         -0.0 |        -0.0 |    -0.0 | -0.1 |
| South Africa |        -0.2 |   -1.1 |         -0.2 |         -0.2 |        -0.3 |    -0.2 | -0.3 |
