| Region       | crops | animals | extract | food | manuf | svces | ai    |
|--------------|-------|---------|---------|------|-------|-------|-------|
|    Australia |  -0.0 |    -0.1 |    -0.8 |  0.4 |   7.0 |  -0.8 |  52.9 |
|  New Zealand |  -0.1 |     1.4 |    -0.1 |  1.8 |   3.4 |  -1.3 | 128.1 |
|          ROW |  -1.6 |    -2.6 |    -1.8 | -2.5 |  -3.5 |  -2.2 |  98.4 |
|        China |  -1.2 |    -3.2 |    -0.5 | -2.5 |   0.5 |  -2.8 | 140.7 |
|        Japan |  -0.1 |    -2.3 |     1.5 | -1.7 |   7.4 |  -0.1 |  53.6 |
|  South Korea |  -0.5 |    -1.6 |    -0.9 | -0.5 |   6.4 |   0.9 | 178.0 |
|        India |  -1.4 |    -0.4 |    -5.8 | -3.7 | -10.6 |   0.3 | 109.1 |
|       Canada | -10.8 |    -7.5 |    -2.5 | -6.9 |  -3.6 |   1.0 | 206.0 |
|          USA |   1.1 |    -2.7 |     1.8 | -2.8 |   6.1 |  -0.8 |  75.5 |
|       Mexico |  -0.7 |    -1.4 |     0.6 | -1.3 |   0.9 |  -1.5 |  36.0 |
|    Argentina |   1.0 |    -2.8 |     0.4 | -0.7 |   0.7 |  -4.8 | 120.5 |
|       Brazil |   0.8 |    -1.1 |     1.4 |  2.3 |   4.2 |  -3.4 |  81.5 |
|           EU |  -4.3 |    -2.0 |    -4.7 | -2.4 |  -4.9 |   3.8 | 118.5 |
|           UK |  -2.4 |    -2.6 |    -3.7 | -3.0 |  -8.2 |  -1.6 | 100.3 |
|       Russia |  -0.2 |    -0.2 |     0.2 |  0.4 |   2.4 |  -1.0 |  24.1 |
| South Africa |  -0.6 |    -2.7 |     0.0 | -2.0 |   6.1 |  -3.8 | 153.2 |
