| Region       | crops | animals | extract | food | manuf | svces | ai   |
|--------------|-------|---------|---------|------|-------|-------|------|
|    Australia |   0.7 |     0.3 |     0.8 |  0.3 |   0.9 |  -0.2 |  0.4 |
|  New Zealand |  -0.6 |    -0.7 |    -1.2 | -0.2 |  -0.5 |   0.1 |  0.0 |
|          ROW |  -0.4 |    -0.3 |    -0.9 |  0.0 |  -0.2 |   0.1 |  0.2 |
|        China |  -0.3 |    -0.1 |    -0.4 | -0.0 |   0.0 |   0.1 |  0.0 |
|        Japan |  -0.5 |    -0.3 |    -0.5 | -0.2 |  -0.1 |   0.0 |  0.1 |
|  South Korea |  -0.8 |    -0.7 |    -0.5 | -0.1 |   0.0 |  -0.0 |  0.3 |
|        India |  -1.0 |    -0.9 |    -2.2 | -0.2 |  -0.4 |   0.5 |  0.4 |
|       Canada |  -1.1 |    -0.1 |    -0.4 | -0.0 |  -1.7 |   0.3 | -0.1 |
|          USA |   4.3 |     1.8 |     5.5 |  2.0 |   3.6 |  -0.6 | -0.1 |
|       Mexico |  -0.3 |    -0.3 |     0.5 | -0.1 |  -0.1 |   0.1 |  0.0 |
|    Argentina |  -1.6 |    -1.2 |    -2.4 | -0.1 |  -0.8 |   0.2 | -0.1 |
|       Brazil |  -0.2 |    -0.1 |    -0.6 |  0.0 |  -0.1 |   0.0 | -0.0 |
|           EU |  -0.9 |    -0.6 |    -1.6 | -0.1 |  -0.4 |   0.1 |  0.2 |
|           UK |  -1.3 |    -0.7 |    -2.1 | -0.2 |  -1.1 |   0.2 | -0.2 |
|       Russia |  -0.0 |    -0.0 |    -0.5 |  0.0 |   0.1 |  -0.0 |  0.0 |
| South Africa |  -0.4 |    -0.3 |    -0.9 | -0.0 |  -0.1 |   0.0 |  0.2 |
