| Region       | tech_aspros | clerks | service_shop | off_mgr_pros | ag_othlowsk | capital | land  |
|--------------|-------------|--------|--------------|--------------|-------------|---------|-------|
|    Australia |        -0.9 |    0.8 |         -1.4 |         -1.3 |        -0.7 |     1.5 |   4.6 |
|  New Zealand |         1.5 |   -1.1 |          0.4 |          0.1 |        -0.7 |     0.7 |  -6.2 |
|          ROW |         0.7 |   -0.9 |          0.3 |          0.2 |        -0.1 |     0.4 |  -1.1 |
|        China |        -0.1 |   -0.4 |         -0.1 |         -0.1 |         0.1 |     0.1 |  -0.2 |
|        Japan |         0.7 |   -0.6 |          0.0 |         -0.1 |        -0.3 |     0.2 |  -1.5 |
|  South Korea |        -0.2 |   -0.6 |         -0.7 |         -0.4 |        -0.6 |     0.1 |  -2.4 |
|        India |         2.3 |   -3.8 |          2.0 |          1.6 |        -1.1 |     2.5 |  -4.0 |
|       Canada |         3.3 |   -0.9 |         -0.2 |          1.2 |         1.2 |     5.4 | -16.1 |
|          USA |         1.7 |    5.2 |          0.2 |         -0.1 |         5.5 |     2.8 |  12.1 |
|       Mexico |         0.3 |    0.3 |          0.1 |          0.2 |         0.2 |     0.4 |  -1.0 |
|    Argentina |         1.8 |   -2.6 |          1.3 |          0.6 |        -0.1 |     1.4 |  -6.8 |
|       Brazil |         0.2 |   -0.6 |          0.2 |          0.0 |         0.4 |     0.2 |  -0.9 |
|           EU |         0.6 |   -1.6 |          0.4 |          0.2 |        -1.0 |     0.8 |  -4.4 |
|           UK |         0.6 |   -2.2 |          1.8 |          1.0 |         1.6 |     0.9 |  -5.3 |
|       Russia |        -0.0 |   -0.6 |         -0.1 |         -0.1 |         0.1 |    -0.1 |   0.2 |
| South Africa |         0.1 |   -0.8 |          0.0 |          0.1 |        -0.3 |     0.3 |  -1.0 |
