| Region       | crops | animals | extract | food | manuf | svces | ai   |
|--------------|-------|---------|---------|------|-------|-------|------|
|    Australia |  -0.2 |    -0.2 |    -0.4 | -0.0 |  -0.0 |   0.0 | -0.0 |
|  New Zealand |  -0.2 |    -0.2 |    -0.4 | -0.0 |  -0.0 |   0.0 |  0.0 |
|          ROW |  -0.3 |    -0.2 |    -0.5 | -0.1 |  -0.1 |   0.1 |  0.1 |
|        China |  -0.2 |    -0.2 |    -0.4 | -0.1 |  -0.0 |   0.1 | -0.0 |
|        Japan |  -0.2 |    -0.1 |    -0.2 | -0.0 |   0.0 |   0.0 | -0.1 |
|  South Korea |  -0.4 |    -0.4 |    -0.4 |  0.0 |   0.0 |  -0.0 |  0.3 |
|        India |  -0.3 |    -0.3 |    -0.5 | -0.1 |  -0.1 |   0.1 |  0.3 |
|       Canada |  -0.3 |    -0.2 |    -0.5 | -0.1 |  -0.0 |   0.0 |  0.2 |
|          USA |  -0.4 |    -0.3 |    -0.6 | -0.1 |  -0.1 |   0.0 |  0.1 |
|       Mexico |  -0.2 |    -0.1 |    -0.3 | -0.0 |   0.0 |   0.0 |  0.0 |
|    Argentina |  -0.4 |    -0.5 |    -0.6 | -0.2 |  -0.2 |   0.1 |  0.2 |
|       Brazil |  -0.2 |    -0.2 |    -0.4 | -0.1 |  -0.1 |   0.0 |  0.0 |
|           EU |  -0.2 |    -0.2 |    -0.5 | -0.0 |  -0.1 |  -0.0 |  0.1 |
|           UK |  -0.6 |    -0.4 |    -0.8 | -0.2 |  -0.3 |   0.1 |  0.0 |
|       Russia |  -0.1 |    -0.0 |    -0.3 | -0.0 |   0.0 |  -0.0 |  0.0 |
| South Africa |  -0.3 |    -0.3 |    -0.5 | -0.1 |  -0.1 |   0.0 |  0.1 |
