| Region       | tech_aspros | clerks | service_shop | off_mgr_pros | ag_othlowsk | capital | land |
|--------------|-------------|--------|--------------|--------------|-------------|---------|------|
|    Australia |        -0.3 |   -0.2 |         -0.3 |         -0.3 |        -0.3 |    -0.3 | -1.2 |
|  New Zealand |        -0.2 |   -0.2 |         -0.2 |         -0.2 |        -0.3 |    -0.2 | -1.4 |
|          ROW |         0.0 |   -0.3 |         -0.0 |         -0.1 |        -0.2 |    -0.1 | -1.2 |
|        China |        -0.2 |   -0.2 |         -0.2 |         -0.2 |        -0.2 |    -0.2 | -0.9 |
|        Japan |        -0.2 |   -0.1 |         -0.5 |         -0.3 |        -0.2 |    -0.3 | -1.0 |
|  South Korea |        -0.5 |   -0.2 |         -0.6 |         -0.5 |        -0.4 |    -0.4 | -1.3 |
|        India |         0.2 |   -0.5 |          0.1 |          0.1 |        -0.3 |     0.1 | -1.4 |
|       Canada |        -0.3 |   -0.3 |         -0.4 |         -0.3 |        -0.4 |    -0.3 | -2.1 |
|          USA |        -0.2 |   -0.4 |         -0.2 |         -0.2 |        -0.3 |    -0.2 | -1.5 |
|       Mexico |        -0.1 |   -0.2 |         -0.1 |         -0.1 |        -0.1 |    -0.1 | -0.9 |
|    Argentina |        -0.3 |   -0.4 |         -0.3 |         -0.4 |        -0.5 |    -0.4 | -1.8 |
|       Brazil |        -0.3 |   -0.3 |         -0.3 |         -0.3 |        -0.3 |    -0.3 | -1.3 |
|           EU |         0.7 |   -0.3 |         -0.2 |          0.0 |        -0.2 |     0.8 | -3.2 |
|           UK |        -0.1 |   -0.7 |          0.2 |          0.0 |         0.1 |     0.0 | -2.5 |
|       Russia |        -0.0 |   -0.1 |         -0.1 |         -0.0 |         0.0 |    -0.0 | -0.6 |
| South Africa |        -0.3 |   -0.3 |         -0.3 |         -0.3 |        -0.4 |    -0.3 | -1.4 |
